检索关键词,岗位名称,省份,城市,薪资原始文本,平均月薪,学历门槛,工作年限要求,企业名称
数据,数据生产专员,北京,北京市,14000-18000元/月,16000.0,本科,3-5年,上海极豆科技有限公司
数据,数据开发,北京,北京市,15000-20000元/月,17500.0,不限,不限,道致科技北京有限公司
数据,数据仓库工程师-实时计算方向,北京,北京市,30000-50000元/月,40000.0,本科,3-5年,元保数科北京科技有限公司
数据,数据工程师,北京,北京市,15000-20000元/月,17500.0,本科,1-3年,稷量数字科技北京有限公司
数据,数据开发工程师,北京,北京市,15000-20000元/月,17500.0,本科,5-10年,华银数字科技北京有限公司
数据,数据工程师,北京,北京市,30000-40000元/月,35000.0,大专,3-5年,北京新兴日祥科技发展有限公司
数据,AI数据运营专家（包三餐）,北京,北京市,12000-18000元/月,15000.0,本科,1-3年,南京虎跃数据技术有限公司
数据,多模态大模型数据策略专家-AI数据与安全,北京,北京市,15000-25000元/月,20000.0,本科,1-3年,北京字跳网络技术有限公司
数据,数据专员,北京,北京市,5000-6000元/月,5500.0,本科,,北京市元昊律师事务所
数据,数据咨询师,北京,北京市,7000-10000元/月,8500.0,本科,3-5年,北京泽数数据科技有限公司
数据,数据分析师,北京,北京市,15000-30000元/月,22500.0,本科,1-3年,北京莱熙科技有限公司
数据,数据产品经理,北京,北京市,13000-26000元/月,19500.0,本科,不限,闪电快车软件北京有限公司
数据,数据分析,北京,北京市,20000-40000元/月,30000.0,本科,3-5年,北京京东世纪贸易有限公司
数据,数据库智能诊断研发工程师,北京,北京市,25000-50000元/月,37500.0,本科,3-5年,支付宝杭州数字服务技术有限公司
数据,渠道数据数据分析师,北京,北京市,30000-40000元/月,35000.0,本科,3-5年,克鲁北京网络科技有限公司
数据,数据分析师,北京,北京市,11000-14000元/月,12500.0,本科,1-3年,北京心智计算科技有限公司
数据,数据采集,北京,北京市,7000-9000元/月,8000.0,不限,1-3年,博彦科技承德有限公司
数据,数据咨询服务业务经理,北京,北京市,15000-20000元/月,17500.0,本科,3-5年,北京泽数数据科技有限公司
数据,数据库运维,北京,北京市,13000-17000元/月,15000.0,本科,3-5年,北京国安信息科技有限公司杭州分公司
数据,数据产品,北京,北京市,90000-120000元/月,105000.0,本科,5-10年,北京多多迦游信息技术有限公司
数据,数据采集实习生,北京,北京市,3000-4000元/月,3500.0,大专,不限,北京数聚通启运营管理有限公司
数据,数据科学家-AI数据与安全,北京,北京市,30000-60000元/月,45000.0,本科,不限,北京字跳网络技术有限公司
数据,项目经理-主数据，数据治理项目,北京,北京市,13000-25000元/月,19000.0,本科,5-10年,北京三维天地科技股份有限公司
数据,数据治理工程师,北京,北京市,15000-17000元/月,16000.0,本科,3-5年,中电信数智科技有限公司
数据,数据治理专家,北京,北京市,50000-80000元/月,65000.0,本科,10年以上,中铝数为成都科技有限责任公司
数据,数据产品经理,北京,北京市,15000-25000元/月,20000.0,本科,5-10年,北京微景数科技术有限公司
数据,数据实习生,北京,北京市,2000-4000元/月,3000.0,本科,不限,北京数迭信息科技有限责任公司
数据,数据领域项目经理,北京,北京市,13000-20000元/月,16500.0,本科,5-10年,北京久胜云数科技有限公司
数据,数据挖掘/数据科学家-AI数据与安全,北京,北京市,35000-65000元/月,50000.0,本科,3-5年,北京字跳网络技术有限公司
数据,数据挖掘/数据科学家-AI数据与安全,北京,北京市,40000-70000元/月,55000.0,本科,3-5年,北京字跳网络技术有限公司
数据,物料主数据项目经理,北京,北京市,25000-40000元/月,32500.0,本科,5-10年,美云智数科技有限公司
数据,AI数据运营,北京,北京市,18000-30000元/月,24000.0,本科,不限,金果未来北京数字科技有限公司
数据,数据开发（数据智能/AI方向）,北京,北京市,25000-50000元/月,37500.0,本科,3-5年,京东科技控股股份有限公司
数据,数据开发（数据智能/AI方向）,北京,北京市,30000-60000元/月,45000.0,本科,1-3年,北京京东世纪贸易有限公司
数据,数据开发/数据实施工程师,北京,北京市,12000-20000元/月,16000.0,大专,3-5年,北京海致科技集团股份有限公司
数据,数据标注声乐,北京,北京市,50-70元/月,60.0,本科,不限,上海临科智华数字科技有限公司
数据,数据策略分析师,北京,北京市,20000-30000元/月,25000.0,本科,3-5年,金果未来北京数字科技有限公司
数据,数据开发工程师（财务数据集市）,北京,北京市,25000-50000元/月,37500.0,本科,5-10年,京东科技控股股份有限公司
数据,数据助理,北京,北京市,4000-7000元/月,5500.0,本科,3-5年,北京轻梦科技有限公司
数据,数据运营,北京,北京市,10000-15000元/月,12500.0,大专,3-5年,北京十五倍科技有限公司
数据,数据开发,北京,北京市,30000-35000元/月,32500.0,本科,3-5年,北京沃东天骏信息技术有限公司
数据,数据标注基地运营负责人,北京,北京市,10000-15000元/月,12500.0,不限,5-10年,北京百行数智科技有限公司
数据,数据库运维工程师(dba),北京,北京市,15000-24000元/月,19500.0,大专,3-5年,中电信数智科技有限公司
数据,数据分析,北京,北京市,12000-15000元/月,13500.0,本科,3-5年,北京人品科技发展有限公司
数据,数据治理平台负责人,北京,北京市,13000-17000元/月,15000.0,本科,5-10年,山东浪潮数字服务有限公司杭州分公司
数据,数据分析,北京,北京市,10000-15000元/月,12500.0,本科,5-10年,长城汽车股份有限公司
数据,数据治理,北京,北京市,18000-20000元/月,19000.0,本科,5-10年,道致科技北京有限公司
数据,数据仓库,北京,北京市,12000-18000元/月,15000.0,本科,5-10年,深圳市长亮科技股份有限公司
数据,集团高级数据分析师（数据产品方向）,北京,北京市,35000-50000元/月,42500.0,本科,5-10年,和讯信息科技有限公司
数据,数据分析,北京,北京市,50000-80000元/月,65000.0,不限,1-3年,上海蓝姿投资管理有限公司
数据,数据开发,北京,北京市,25000-35000元/月,30000.0,本科,3-5年,百望股份有限公司
数据,CUDB 数据库内核研发专家,北京,北京市,35000-65000元/月,50000.0,本科,5-10年,联通数字科技有限公司
数据,数据标注,北京,北京市,4000-4500元/月,4250.0,本科,,北京隐身科技有限公司
数据,数据分析,北京,北京市,20000-35000元/月,27500.0,本科,3-5年,北京京东世纪贸易有限公司
数据,数据文员,北京,北京市,6000-8000元/月,7000.0,高中,不限,北京食源谷香商贸有限责任公司
数据,数据开发,北京,北京市,20000-25000元/月,22500.0,本科,1-3年,北京京东科技有限公司
数据,数据开发,北京,北京市,22000-40000元/月,31000.0,本科,5-10年,京东科技控股股份有限公司
数据,数据专员,北京,北京市,6000-8000元/月,7000.0,本科,1-3年,盛华懋生物科技北京有限公司
数据,数据分析,北京,北京市,25000-40000元/月,32500.0,本科,3-5年,北京云杉世界信息技术集团有限公司
数据,数据开发,北京,北京市,15000-22000元/月,18500.0,本科,3-5年,元蔓北京科技有限公司
数据,数据标注,北京,北京市,25-30元/月,27.5,本科,1-3年,振翼北京智能科技有限公司
数据,数据仓库,北京,北京市,15000-20000元/月,17500.0,大专,1-3年,北京月河动力科技有限公司
数据,数据产品,北京,北京市,28000-45000元/月,36500.0,本科,3-5年,北京嘀嘀无限科技发展有限公司
数据,数据标注,北京,北京市,5000-6000元/月,5500.0,本科,1-3年,华清云联北京科技有限公司
数据,数据开发,北京,北京市,18000-20000元/月,19000.0,本科,5-10年,道致科技北京有限公司
数据,数据采集,北京,北京市,8000-10000元/月,9000.0,大专,1-3年,大连斯锐信息技术有限公司
数据,数据采集,北京,北京市,4000-5000元/月,4500.0,大专,1-3年,博彦科技承德有限公司
数据,数据开发,北京,北京市,17000-23000元/月,20000.0,本科,,北京市伴才教育科技有限公司
数据,数据采集,北京,北京市,4000-7000元/月,5500.0,大专,不限,山西春田信息科技有限公司
数据,数据分析师,北京,北京市,20000-35000元/月,27500.0,本科,5-10年,北京阿帕科蓝科技集团有限公司
数据,数据分析员,北京,北京市,12000-14000元/月,13000.0,硕士,3-5年,江苏鑫之迪外贸服务有限公司
数据,数据工程师,北京,北京市,25000-50000元/月,37500.0,本科,1-3年,北京逆矩阵科技有限公司
数据,数据分析师,北京,北京市,20000-40000元/月,30000.0,本科,3-5年,湖北活力日化科技有限公司
数据,数据分析师,北京,北京市,15000-25000元/月,20000.0,本科,1-3年,广东省好课在线教育培训中心
